Postcode
LS2 9DU
LS25 7LE
LS26 0QZ
LS27 8DQ
LS28 8EL
LS9 8BX
LS10 4AF
LS10 4AQ
LS12 5BZ
LS28 9DY
LS6 3EJ
LS12 1DP
LS12 6LE
LS17 8NF
LS22 6JX
LS27 9AB
LS12 2HN
LS25 2AR
LS27 7DJ
LS28 6NG
LS28 8AX
LS10 3EQ
LS12 3UZ
LS2 8WF
LS21 3LE
LS25 1AD
LS29 8ND
LS6 4LG
LS7 4ND
LS8 2AN
LS2 9NZ
LS27 8DH
LS4 2SZ
LS7 4DR
LS8 3PH
LS8 5LS
LS15 9EW
LS19 7TP
LS20 8DU
LS26 0PP
LS26 0UE
LS11 7BT
LS28 5BB
LS10 4LW
LS12 1DF
LS16 5RU
LS21 1DE
LS27 9PN
LS6 2EN
LS7 2HJ
LS7 3JE
LS12 6AY
LS25 7QY
LS5 3LX
LS11 8AH
LS19 7SL
LS26 9DA
LS6 4NF
LS12 4PB
LS15 0EE
LS27 8SL
LS4 2TD
LS1 4JL
LS19 7JY
LS25 1EN
LS28 9NQ
LS9 8PH
LS20 8DA
LS26 0QS
LS29 7RG
LS4 2QX
LS10 2LJ
LS12 3DX
LS14 2HW
LS28 5GR
LS7 1AR
LS7 2HH
LS8 2NT
LS10 4PU
LS11 0JP
LS12 4AT
LS16 5RQ
LS18 5JP
LS8 2RU
LS11 7EQ
LS11 8DY
LS12 5AE
LS13 2QG
LS18 4BG
LS2 7QB
LS25 2EU
LS28 8HA
LS8 4DW
LS9 6HT
LS14 2HP
LS29 7HA
LS9 0HH
LS9 6BX
LS9 6HX
LS16 5JX
LS16 7DL
LS21 2BP
LS12 3SZ
LS13 4NF
LS15 4PB
LS17 7RU
LS2 8WG
LS6 2BR
LS9 9HE
LS12 4BB
LS14 2DJ
LS16 5EW
LS19 7PF
LS19 7UT
LS26 8DJ
LS6 4ET
LS9 9ES
LS13 1JX
LS15 4DA
LS17 8TB
LS18 4HF
LS26 9BA
LS29 0SY
LS10 2LR
LS11 7JA
LS11 8HS
LS13 2JS
LS19 7RW
LS22 6SN
LS22 7XN
LS28 5QG
LS6 1DL
LS7 2UL
LS13 2SQ
LS14 1JF
LS20 8PQ
LS21 2AL
LS26 0RA
LS8 4HD
LS9 0HY
LS10 4PT
LS12 5NN
LS18 4LG
LS27 7DL
LS27 7LT
LS28 5HU
LS6 4BS
LS12 1LB
LS12 5AW
LS12 5RB
LS19 7DS
LS19 7DZ
LS22 6JY
LS6 4PS
LS8 1DH
LS10 3AL
LS12 4EY
LS18 5JR
LS26 0UH
LS28 7NA
LS3 1DY
LS5 3DW
LS9 8DW
LS10 1JG
LS10 3PX
LS11 6TY
LS11 8QE
LS12 3TG
LS16 6EA
LS18 4QE
LS19 7JU
LS26 8TQ
LS26 8XF
LS1 4JJ
LS10 4QZ
LS10 4UP
LS11 9BG
LS18 5JU
LS26 0XE
LS28 5PY
LS6 2ET
LS7 4EU
LS10 1LP
LS11 8HG
LS14 1NS
LS16 6DP
LS21 1AX
LS21 2DB
LS26 8EE
LS10 4AE
LS11 9QF
LS13 3HT
LS16 7SJ
LS19 7YH
LS22 7FJ
LS25 1EE
LS25 2LY
LS27 8NA
LS27 8SJ
LS4 2TS
LS9 9DW
LS11 9BT
LS14 3DX
LS16 7PU
LS2 9AR
LS20 9PF
LS6 4PP
LS7 4EN
LS9 0JA
LS10 4AP
LS11 8ET
LS16 6RR
LS16 7SF
LS17 7EA
LS19 7YS
LS25 1BF
LS8 5LW
LS9 0NE
LS9 8AY
LS12 5LU
LS16 7HD
LS19 7UJ
LS21 2AG
LS26 0ZL
LS4 2RD
